Level,Code,Label,Area sqkm,,,
IARE,IARE504006,Kununurra,14.8607,,,
IARE,IARE504007,North Kimberley,98634.01,,,
IARE,IARE504008,Wyndham,2.20702,,,
IARE,IARE505001,Armadale,559.916,,,
IARE,IARE505002,Bassendean,10.3445,,,
IARE,IARE505003,Bayswater,32.4768,,,
IARE,IARE505004,Belmont,25.7897,,,
IARE,IARE505005,Canning,65.0474,,,
IARE,IARE505006,Cockburn,179.843,,,
IARE,IARE505007,Fremantle,22.1486,,,
IARE,IARE505008,Gosnells,127.199,,,
IARE,IARE505009,Joondalup,99.0017,,,
IARE,IARE505010,Kalamunda,283.705,,,
IARE,IARE505011,Kwinana,120.012,,,
IARE,IARE505012,Melville,53.4384,,,
IARE,IARE505013,Mundaring - Swan View,683.245,,,
IARE,IARE505014,Perth,79.7038,,,
IARE,IARE505015,Rockingham,244.669,,,
IARE,IARE505016,Serpentine - Jarrahdale,907.637,,,
IARE,IARE505017,South Perth - Victoria Park,37.2911,,,
IARE,IARE505018,Stirling,111.861,,,
IARE,IARE505019,Swan,1056.93,,,
IARE,IARE505020,Wanneroo - North-East,562.148,,,
IARE,IARE505021,Yanchep - Two Rocks,123.514,,,
IARE,IARE506001,East Pilbara,371244.04,,,
IARE,IARE506002,Exmouth - Ashburton,107448.41,,,
IARE,IARE506003,Karratha,134.203,,,
IARE,IARE506004,Port Hedland,18430.35,,,
IARE,IARE506005,Roebourne - Wickham,15101.28,,,
IARE,IARE507001,Albany,4307.35,,,
IARE,IARE507002,Avon,33212.35,,,
IARE,IARE507003,Bunbury,65.2747,,,
IARE,IARE507004,Busselton,1423.26,,,
IARE,IARE507005,Campion,59977.56,,,
IARE,IARE507006,Harvey and Surrounds,1728.21,,,
IARE,IARE507007,Hotham - Kulin,36081.31,,,
IARE,IARE507008,Kojonup - Gnowangerup,23574.22,,,
