region_id,2011_Census_85_years_and_over_Speaks_other_language_and_speaks_English_Total,2011_Census_85_years_and_over_Language_and_proficiency_in_English_not_stated,2011_Census_85_years_and_over_Total,2011_Census_Total_Speaks_English_only,2011_Census_Total_Speaks_other_language_and_speaks_English_Very_well_or_well,2011_Census_Total_Speaks_other_language_and_speaks_English_Not_well_or_not_at_all,2011_Census_Total_Speaks_other_language_and_speaks_English_Proficiency_in_English_not_stated,2011_Census_Total_Speaks_other_language_and_speaks_English_Total,2011_Census_Total_Language_and_proficiency_in_English_not_stated,2011_Census_Total_Total
30302,158,192,1308,50353,10011,1665,173,11849,3489,65691
30303,191,51,1252,44367,15609,3076,226,18911,2085,65363
30304,83,44,776,26182,6914,1412,119,8445,1705,36332
30305,127,58,609,33082,14813,3027,205,18045,2133,53260
30306,130,38,660,23222,16611,4289,251,21151,1513,45886
30401,94,25,556,24268,5811,834,64,6709,563,31540
30402,50,197,802,36820,4567,422,42,5031,992,42843
30403,67,138,843,35567,8263,1001,88,9352,2208,47127
30404,66,49,1020,42211,3072,361,52,3485,929,46625
30501,242,119,1026,43380,12570,2099,156,14825,8607,66812
30502,47,27,422,31310,3422,468,62,3952,1758,37020
30503,119,104,1189,63205,8581,1239,144,9964,3618,76787
30504,63,45,658,45327,5476,592,70,6138,2218,53683
30601,39,91,438,43301,3840,380,55,4275,2444,50020
30602,134,132,1273,77941,10715,2104,202,13021,9409,100371
30603,127,28,559,30610,2765,493,40,3298,1488,35396
30604,23,19,151,12862,942,99,15,1056,1587,15505
30605,80,115,714,33876,2396,376,35,2807,1783,38466
30701,11,52,606,41422,1053,124,21,1198,3170,45790
30702,11,81,737,36508,863,164,22,1049,2563,40120
30703,72,81,857,34961,1322,268,27,1617,1285,37863
30801,3,23,141,29850,1224,156,18,1398,3198,34446
30802,21,54,613,67010,2772,413,61,3246,4850,75106
30803,41,389,1838,98258,3718,884,56,4658,7092,110008
30901,144,220,1632,51475,5164,671,66,5901,5320,62696
30902,68,161,1473,47862,2315,283,42,2640,2920,53422
30903,155,169,1651,49173,5864,924,90,6878,3420,59471
30904,12,7,196,15865,761,59,17,837,601,17303
30905,26,6,262,27536,1883,199,23,2105,1076,30717
30906,85,122,905,53366,4950,631,63,5644,3135,62145
30907,69,76,785,82791,5949,699,80,6728,3801,93320
30908,84,190,944,35326,5942,983,75,7000,2664,44990
30909,117,267,1416,41834,7876,1598,125,9599,3965,55398
30910,106,88,875,30048,5681,858,106,6645,5314,42007
